Product,MinPrice,MaxPrice,AvgPrice,StdPrice,PriceRange
Aceite De Oliva Virgen Extra,3.44,9.42,6.413076923076924,1.2281054168839731,5.98
Arroz Redondo,1.52,2.09,1.7751282051282051,0.1094693370879861,0.5699999999999998
Huevos L (12),2.11,3.67,2.764871794871795,0.3477587775188866,1.56
Leche Entera,0.99,1.45,1.2302564102564102,0.08776425298812786,0.45999999999999996
Pan De Molde,1.27,1.7,1.493076923076923,0.08131012257024746,0.42999999999999994
Pechuga De Pollo,4.05,7.02,5.278205128205128,0.6938332569098009,2.9699999999999998
